name,what,who,address_1,address_2,suburb,phone,phone_2,free_call,email,website,twitter,social_media,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,cost,tram_routes,bus_routes,nearest_train_station,category_1,category_2,category_3,category_4,category_5,category_6,longitude,latitude,geocoded_location,Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,category,Unnamed: 0,Serial No.,Estimate type,Gender,Chapter,Indicator,Indicator category,Stratified by,Sub-population,%,RSE,UL,LL,Sig.,Year
Australian College of Optometry Outreach Services,"Homeless Persons Eyecare Program, Supported Residential Services Project, Residential Aged Care Project, Older Persons High Rise, Aboriginal and Torres Strait Island Outreach, Visiting Disability Service",Low cost eye care for those of limited means.  Appointments bulk billed to Medicare.  Glasses subsidized for pension/health care card holders.,,Corner Keppel and Cardigan Streets,Carlton,9349 7400,,,,aco.org.au,@auscollegeoptom,facebook.com/australiancollegeofoptometry,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.00pm,Closed,Closed,,"1, 8 (stop 113 Lytton St)",,,Health Services / Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Brotherhood of St Laurence Coolibah Centre,"Breakfast $1.00 
lunch $3, afternoon tea $0.20
showers
laundry facilities
health services
short-term case management
accommodation referral
social engagement activities
psychiatric referral
optometry every second month.","A person may be eligible for the Coolibah Centre if:

they are 55 years of age or over and live in the City of Yarra
they are experiencing homelessness or living in insecure housing
they are socially and financially disadvantaged
they have a disability and are receiving an Individual Support Plan (ISP) funding (45 years and over)
have a carer who needs respite.",,67A Brunswick Street,Fitzroy,1300 147 147,,,bacci@bsl.org.au,bsl.org.au/services/older-people/day-and-respite-services/the-coolibah-centre/,,,9.30am - 4.30pm,Closed,9.30am - 4.30pm,Closed,9.30am - 4.30pm,Closed,Closed,Closed,Member-based services only - $20.00 per year,"11, 12, 86 (stop 13 Brunswick St)",,,Food,Accommodation,Health Services / Pharmacy,Showers / Laundry,Counselling and Psychiatric Services,,144.977265,-37.805286,"-37.805286, 144.977265",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
CASA House Centre Against Sexual Assault,"counselling, advocacy, health services, legal advice

The crisis-care unit at the Royal Women’s Hospital is available for recent assault victims.",,3rd Floor Queen Victoria Women’s Centre,210 Lonsdale Street,Melbourne,9635 3600,9635 3610,,casa@thewomens.org.au,casahouse.com.au,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,"1, 3, 3a, 5, 6, 8, 16, 64, 67, 72 (stop  8 Melbourne Central Station)",,Melbourne Central Station,Hospitals / Emergency,Counselling and Psychiatric Services,Legal / Financial Advice,,,,144.965833,-37.810904,"-37.810904, 144.965833",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
COHEALTH,"range of health and welfare services, drug and alcohol counseling, drop in social work/counselling sessions
needle and syringe programs, mental health community  support, doctors and nurses.",,,365 Hoddle Street,Collingwood,9411 4333,,,,cohealth.org.au,@cohealth_au,facebook.com/cohealth,8.30am - 5.30pm,8.30am - 5.30pm,8.30am - 5.30pm,8.30am - 5.30pm,8.30am - 5.30pm,9.00am - 12.00 Noon,Closed,Closed,,,"905, 907, 908, 318, 309, 246, 906, 305, 302, 304, 350, 303 (Johnston St/Hoddle St (Collingwood) Stop ID 934)",Victoria Park (South Morang  or Hurstbridge Line),Drug and Alcohol,Needle Exchange,Counselling and Psychiatric Services,Health Services / Pharmacy,,,144.992598,-37.798881,"-37.798881, 144.992598",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
COHEALTH,"broad range of allied health and counselling services, social work/counselling sessions (by appointment only), secondary needle and syringe exchange",,,622 Lygon Street,Carlton North,9349 7333,,,,cohealth.org.au,@cohealth_au,facebook.com/cohealth,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,"1, 8 (stop 114 Princes St)",,,Counselling and Psychiatric Services,Needle Exchange,,,,,144.968594,-37.791715,"-37.791715, 144.968594",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
COHEALTH,"Outreach Support Services for people experiencing or at risk of becoming homelessness., Homeless Mental Health and Housing Service,
Allied Health Outreach Services, Dietetics and Café Meals, Podiatry, Occupational Therapy, Physiotherapy",,,53 Victoria Street,Melbourne,1300 022 247,,,,cohealth.org.au,@cohealth_au,facebook.com/cohealth,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,Closed,Closed,Closed,,"19, 57, 59 (stop 7 RMIT University)",,Melbourne Central Station,Counselling and Psychiatric Services,Food,Health Services / Pharmacy,,,,144.961214,-37.806518,"-37.806518, 144.961214",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
COHEALTH,"Provides a broad range of health and welfare services 
Drop-in Clinic for homeless people every Monday from 9am -12 noon. Services include physiotherapy, podiatry, occupational therapy, dietetics, and nursing.

Aboriginal engagement worker available, café meals program for homeless people, drop-in social work/counselling sessions, showers, needle and syringe program

dental services for homeless people and for people with drug and/or alcohol issues – phone dental reception:  9411 3505",,,75 Brunswick Street,Fitzroy,9411 3555,,,,cohealth.org.au,@cohealth_au,facebook.com/cohealth,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 12.00 Noon,Closed,Closed,,"11, 86, 12 (stop 13 Brunswick St)",,,Health Services / Pharmacy,Food,Drug and Alcohol,Needle Exchange,,,144.97697,-37.805149,"-37.805149, 144.97697",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
COHEALTH,"allied health services, social welfare services, 
health promotion programs, dental services,
medical services, counselling and  mental health services",,,12 Gower Street,Kensington,8378 1600,,,,cohealth.org.au,@cohealth_au,facebook.com/cohealth,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,,402 (Kensington Railway Station/Macaulay Rd (Kensington) Stop ID 7578),Kensington (Craigieburn Line),Health Services / Pharmacy,Counselling and Psychiatric Services,,,,,144.929074,-37.795025,"-37.795025, 144.929074",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
COHEALTH - Inner Space,"Cohealth’s primary health service for people who inject drugs plus primary needle and syringe program.
Services include:
doctors
drug and alcohol counseling
nursing (including psychiatric nurse)
breakfast program
phone, shower and laundry facilities
advocacy, support and referral
needle and syringe program.

There are Allied Health Outreach Workers situated at the Centre.  These workers include the following:
Nutrionist
Physiotherapist
Podiatrist
Legal
Financial

Drop in Centre:
Monday to Friday
11.00am – 1.00pm
3.00pm. – 5.00pm

The needle syringe program operates Monday to Friday: from 10.30am – 6.30pm",,,4 Johnston Street,Collingwood,9468 2800,,,,cohealth.org.au,@cohealth_au,facebook.com/cohealth,"10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm","10.30 am – 6.30 pm, Drop in Centre:
11.00 am – 1.00 pm & 3.00 pm – 5.00 pm",Closed,Closed,Closed,,86 (stop 19 Johnston St),,,Health Services / Pharmacy,Needle Exchange,Drug and Alcohol,,,,144.984854,-37.799008,"-37.799008, 144.984854",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
CatholicCare/St Mary of the Cross Centre,"referral, drug education, counselling, group support
outreach, multicultural support, families with drug and alcohol issues, 
spiritual support, HIV/AIDS ministry",,,23 Brunswick Street,Fitzroy,8417 1200,,,,ccam.org.au,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,"11, 86, 12 (stop 13 Brunswick St)",,,Needle Exchange,Counselling and Psychiatric Services,,,,,144.976675,-37.806595,"-37.806595, 144.976675",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Central City Community Health Service,"Outreach support services for people experiencing or at risk of becoming homelessness, Allied Health Outreach Services, Mental Health Outreach Services, Royal Women’s Hospital Clinic
RDNS HPP Nurses, Legal Services – Justice Connect and Inner Melbourne Community Legall, Wintringham Over 50’s Planned Activity Group, Optometry, PESP Workers

Ask to speak to the Duty Worker.  Please refer to cohealth entry in this booklet for additional information",,,53 Victoria Street,Melbourne,1300 022 247,,,,cohealth.org.au,,,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,Closed,Closed,Closed,,"19, 57, 59 (stop 7 RMIT University)",,Melbourne Central Station,Health Services / Pharmacy,Counselling and Psychiatric Services,Legal / Financial Advice,,,,144.961214,-37.806518,"-37.806518, 144.961214",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Centrelink,"Centrelink is an Australian Government agency delivering a range of services to the community, including social security payments.",,,94 York Street,South Melbourne,132850,,,,humanservices.gov.au/customer/dhs/centrelink,@Centrelink,,8.30am - 4.30pm,8.30am - 4.30pm,8.30am - 4.30pm,8.30am - 4.30pm,8.30am - 4.30pm,Closed,Closed,Closed,,12 (stop 127 York St),,,Legal / Financial Advice,Employment Assistance,Tenancy Assistance,,,,144.958914,-37.830941,"-37.830941, 144.958914",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Child Protection Emergency Service,,,,,,13 12 78,,,,"dhs.vic.gov.au/for-individuals/children,-families-and-young-people/child-protection",,,,,,,,,,,,,,,Helpful phone number,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Child Support Info Service,"Child Support Info Service is an automated telephone information system that provides information 24 hours a day, seven days a week about your child support account.",,,,,13 11 07,,,,humanservices.gov.au/customer/themes/child-support-and-separated-parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Church of All Nations,"Lunch on Tuesdays, Food pantry, lnternet kiosk and drop-in centre, Carlton No Interest Loans Scheme, Carlton Worker Learning Centre, 
Referral and Advocacy, Women’s program, Family Learning Program/Children and Parents (Homework Club)",,,180 Palmerston Street,Carlton,9347 7077,,,,carlton-uca.org,,facebook.com/CarltonChurchofAllNations,"Worker Learning Centre 10.00 am – 5.00 pm, Homework Club 4.00 pm – 6.00 pm","Worker Learning Centre 10.00 am – 5.00 pm, Food pantry 10.00 am – 12.00 pm, No Interest Loans 10.00 am – 4.00pm, Women’s program 11.00 am – 3.00 pm, Homework Club 4.00 pm – 6.00 pm","Worker Learning Centre 10.00 am – 5.00 pm, Food pantry 10.00 am – 12.00 pm, No Interest Loans 10.00 am – 4.00pm, Women’s program 11.00 am – 3.00 pm, Homework Club 4.00 pm – 6.00 pm","Worker Learning Centre 10.00 am – 5.00 pm, Food pantry 10.00 am – 12.00 pm, No Interest Loans 10.00 am – 4.00pm",Worker Learning Centre 10.00 am – 5.00 pm,Closed,Closed,Closed,,"1, 8 (stop 112 Elgin St)",,,Accommodation,,,,,,144.968642,-37.795941,"-37.795941, 144.968642",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
City of Melbourne’s Social Support Directory,,,,,,,,,,melbourne.vic.gov.au,,,,,,,,,,,,,,,Helpful website,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Clarendon Clinic,"psychiatric services for people with serious mental illness, crisis assessment",,,52 Albert Street,East Melbourne,9417 5696,,,,,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,"24, 109 (stop 18 Grant St)",,,Counselling and Psychiatric Services,,,,,,144.988927,-37.810921,"-37.810921, 144.988927",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Council to Homeless Persons,,,,,,,,,,chp.org.au,,,,,,,,,,,,,,,Helpful website,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Depaul House,"residential drug withdrawal service

Self referrals via the centralized hub.
Contact Direct Line on 1800 888 236 for your local hub.  You can also go on line to find your local service.",,,9 Brunswick Street,Fitzroy,9231 2624,,,,health.vic.gov.au/aod/help,,,1.30 pm and 3.30pm,1.30 pm and 3.30pm,1.30 pm and 3.30pm,1.30 pm and 3.30pm,1.30 pm and 3.30pm,Open,Open,Open,,"86, 109, 12 (stop 11 Victoria Pde)",,,Drug and Alcohol,,,,,,144.976911,-37.807402,"-37.807402, 144.976911",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Direct Line (24-hr drug and alcohol counselling),,,,,,,,1800 888 236,,directline.org.au,,,,,,,,,,,,,,,Helpful phone number,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Fitzroy Legal Service,"A Community Legal Centre offering free legal advice, and some legal representation, community legal education, publications and law reform advocacy.",,,124 Johnston Street,Fitzroy,9419 3744,,,enquiries@fitzroy-legal.org.au,fitzroy-legal.org.au,@FitzroyLegal,facebook.com/fitzroylegal,"9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)","9.00 am to 5.00 pm, Drop-in service 6.30 pm – 8.00 pm (appointment may be required)",Closed,Closed,Closed,,12 (stop 16 Johnston St),,,Legal / Financial Advice,,,,,,144.979089,-37.798629,"-37.798629, 144.979089",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Flagstaff Crisis Accommodation,"supported accommodation, health services, psychiatric referral, drug and alcohol referral

free legal advice and assistance provided by Justice Connect –Tuesdays (fortnightly) at 1.00 pm. (by appointment)

Access to vacancies is only through Homeground Services. The local Homeground Service for the CBD area is located at 68 Oxford Street, Collingwood or telephone 9288 9611 or
Free call:  1800 048 325.",Accommodates men aged 18 years and over.,,Corner King and Roden Streets,West Melbourne,9329 4800,,,adultservices@aus.salvationarmy.org,salvationarmy.org.au,,,24 Hours,"24 Hours, Free legal advice and assistance fortnightly at 1.00 pm. (by appointment)",24 Hours,24 Hours,24 Hours,Closed,Closed,Closed,"Accommodation cost $25 per day, or $175 per week.",57 (stop 24 Victoria St),,,Hospitals / Emergency,Dentistry,Drug and Alcohol,Counselling and Psychiatric Services,,,144.949896,-37.806306,"-37.806306, 144.949896",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Flemington & Kensington Community Legal Centre,free legal advice and assistance for residents of Flemington and Kensington,residents of Flemington and Kensington,,22 Bellair Street,Kensington,9376 4355,,,fklegal@fkclc.org.au,communitylaw.org.au/flemingtonkensington,@Flemlegal,facebook.com/FlemKenlegal,"9:00am – 5:00pm (Closed:  12:30pm – 1:30pm for Lunch),  6.00 pm -7.00pm (appointments only)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)",Closed,Closed,Closed,,57 (stop 26 Newmarket Station),,Newmarket (Craigieburn Line),Legal / Financial Advice,Tenancy Assistance,,,,,144.928727,-37.789148,"-37.789148, 144.928727",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Foot Patrol,needle exchange/health outreach program,,,,,0412 155 491,,1800 700 102,,youthprojects.org.au/health/programs/foot-patrol,@Youth_Projects,facebook.com/YouthProjects,"12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12.00pm - 3.15pm, 4.00pm - 6.45pm, 7.30pm - 10.45pm","12pm - 3.45pm, 7.30pm - 11.15pm","12pm - 3.45pm, 7.30pm - 11.15pm","12pm - 3.45 pm, 7.30pm - 11.15pm",,,,,Needle Exchange,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Frontyard Youth Services,"accommodation referral, centrelink, youth connections, gateway reconnect, legal advice, health services, 
Job Services Australia, family reconciliation and mediation program","aged between 12 to 25
homeless, at risk of homelessness, disengaged or requiring support.",,19 King Street,Melbourne,9611 2411,,1800 800 531,frontyard@mcm.org.au,www.frontyard.org,,,9.00 am – 8.00 pm,9.00 am – 8.00 pm,9.00 am – 8.00 pm,9.00 am – 8.00 pm,9.00 am – 8.00 pm,10.00 am– 6.00 pm,10.00 am– 6.00 pm,Open,,"City Circle, 70, 75 (stop  2 Melbourne Aquarium)",,Southern Cross,Accommodation,Health Services / Pharmacy,Legal / Financial Advice,Employment Assistance,,,144.957305,-37.819928,"-37.819928, 144.957305",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
GROW,"A movement of community mental health and mutual support self-help groups.  Weekly groups are available for people who have been through a breakdown, or who are overwhelmed by problems and painful life experiences.",,,707 Glenhuntly Road,Caulfield South,9528 2977,,1800 558 268,vic@grow.org.au,grow.org.au,@GrowAu,facebook.com/growau,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,67 (stop 50 Royal Pde),,,Counselling and Psychiatric Services,,,,,,145.019061,-37.886526,"-37.886526, 145.019061",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Gamblers Help Line Victoria,,,,,,,,1800 858 858,,gamblinghelponline.org.au,,,,,,,,,,,,,,,Helpful phone number,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Hamodava Café,"Provides meals Monday to Friday, at no cost.


a  safe place for Melbourne’s homeless and marginalized
meals provided Monday to Friday at no cost
assessment and referral for D&A, mental health and legal services",,,69 Bourke Street,Melbourne,9653 3299,,,,salvationarmy.org.au/melbourne614,@melb614,acebook.com/melbourne614,"Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm",Closed,Closed,Closed,,"City Circle, 86, 96 (stop 9 Spring St)",,Parliament,Food,,,,,,144.971628,-37.812515,"-37.812515, 144.971628",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Hanover Fitzroy,"The Assertive Outreach Team offers support to people sleeping out.  Support can include:
accommodation information and referral , sleeping gear and food bags, referral to other services such as health or legal services, visiting people who are sleeping out.",,,145 Smith Street,Fitzroy,9288 9800,,,fitzroy@hanover.org.au,hanover.org.au,@Hanovermelb,facebook.com/hanover.welfare.services,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,86 (stop 16 Peel St),,,Accommodation,Health Services / Pharmacy,Clothes and Blankets,,,,144.982736,-37.804578,"-37.804578, 144.982736",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
